Территория,Пол,Год,Прибыл,Выбыл,Сальдо,Статус
Калининградская область,Всего,2061,59583,49144,10439,прогноз
Калининградская область,Всего,2062,59862,49290,10572,прогноз
Калининградская область,Всего,2063,59796,49783,10013,прогноз
Калининградская область,Всего,2064,59759,50246,9513,прогноз
Калининградская область,Всего,2065,60399,50033,10366,прогноз
Калининградская область,Всего,2066,60704,50155,10549,прогноз
Калининградская область,Всего,2067,60906,50379,10527,прогноз
Калининградская область,Всего,2068,61561,50151,11410,прогноз
Калининградская область,Всего,2069,61624,50513,11111,прогноз
Калининградская область,Всего,2070,61395,51168,10227,прогноз
Калининградская область,Всего,2071,61634,51356,10278,прогноз
Калининградская область,Всего,2072,61564,51852,9712,прогноз
Калининградская область,Всего,2073,61637,52207,9430,прогноз
Калининградская область,Всего,2074,62482,51787,10695,прогноз
Калининградская область,Всего,2075,62946,51749,11197,прогноз
Калининградская область,Всего,2076,63093,52029,11064,прогноз
Калининградская область,Всего,2077,63461,52086,11375,прогноз
Калининградская область,Всего,2078,63200,52774,10426,прогноз
Калининградская область,Всего,2079,62872,53529,9343,прогноз
Калининградская область,Всего,2080,63342,53484,9858,прогноз
Калининградская область,Всего,2081,63676,53576,10100,прогноз
Калининградская область,Всего,2082,64015,53664,10351,прогноз
Калининградская область,Всего,2083,64784,53321,11463,прогноз
Калининградская область,Всего,2084,64898,53634,11264,прогноз
Калининградская область,Всего,2085,64699,54259,10440,прогноз
Калининградская область,Всего,2086,64979,54406,10573,прогноз
Калининградская область,Всего,2087,64912,54899,10013,прогноз
Калининградская область,Всего,2088,64875,55362,9513,прогноз
Калининградская область,Всего,2089,65514,55149,10365,прогноз
Калининградская область,Всего,2090,65819,55270,10549,прогноз
Калининградская область,Всего,2091,66022,55495,10527,прогноз
Калининградская область,Всего,2092,66676,55266,11410,прогноз
Калининградская область,Всего,2093,66739,55630,11109,прогноз
Калининградская область,Всего,2094,66511,56284,10227,прогноз
Калининградская область,Всего,2095,66749,56471,10278,прогноз
Калининградская область,Всего,2096,66680,56968,9712,прогноз
Калининградская область,Всего,2097,66752,57322,9430,прогноз
Калининградская область,Всего,2098,67597,56902,10695,прогноз
Калининградская область,Всего,2099,68061,56865,11196,прогноз
Калининградская область,Всего,2100,68208,57144,11064,прогноз
Калининградская область,Женщины,2017,23809,18290,5519,наблюдение
Калининградская область,Женщины,2018,24981,19936,5045,наблюдение
Калининградская область,Женщины,2019,27754,21053,6701,наблюдение
Калининградская область,Женщины,2020,25307,19321,5986,наблюдение
Калининградская область,Женщины,2021,28377,19718,8659,наблюдение
Калининградская область,Женщины,2022,25248,21261,3987,наблюдение
Калининградская область,Женщины,2023,23143,19291,3852,наблюдение
Калининградская область,Женщины,2024,25006,19228,5778,прогноз
Калининградская область,Женщины,2025,25715,19937,5778,прогноз
Калининградская область,Женщины,2026,25828,20050,5778,прогноз
Калининградская область,Женщины,2027,26829,20933,5896,прогноз
Калининградская область,Женщины,2028,28212,22080,6132,прогноз
Калининградская область,Женщины,2029,28267,22252,6015,прогноз
Калининградская область,Женщины,2030,28262,22484,5778,прогноз
Калининградская область,Женщины,2031,28375,22597,5778,прогноз
Калининградская область,Женщины,2032,28489,22711,5778,прогноз
Калининградская область,Женщины,2033,28661,22765,5896,прогноз
Калининградская область,Женщины,2034,28892,22760,6132,прогноз
Калининградская область,Женщины,2035,28947,22933,6014,прогноз
Калининградская область,Женщины,2036,28942,23164,5778,прогноз
Калининградская область,Женщины,2037,29056,23278,5778,прогноз
Калининградская область,Женщины,2038,29169,23391,5778,прогноз
Калининградская область,Женщины,2039,29341,23446,5895,прогноз
Калининградская область,Женщины,2040,29573,23441,6132,прогноз
Калининградская область,Женщины,2041,29627,23613,6014,прогноз
Калининградская область,Женщины,2042,29623,23845,5778,прогноз
Калининградская область,Женщины,2043,29736,23958,5778,прогноз
Калининградская область,Женщины,2044,29849,24071,5778,прогноз
Калининградская область,Женщины,2045,30021,24126,5895,прогноз
Калининградская область,Женщины,2046,30253,24121,6132,прогноз
Калининградская область,Женщины,2047,30308,24293,6015,прогноз
Калининградская область,Женщины,2048,30303,24525,5778,прогноз
Калининградская область,Женщины,2049,30416,24638,5778,прогноз
Калининградская область,Женщины,2050,30530,24752,5778,прогноз
Калининградская область,Женщины,2051,30702,24806,5896,прогноз
Калининградская область,Женщины,2052,30933,24801,6132,прогноз
Калининградская область,Женщины,2053,30988,24974,6014,прогноз
Калининградская область,Женщины,2054,30983,25205,5778,прогноз
Калининградская область,Женщины,2055,31097,25319,5778,прогноз
Калининградская область,Женщины,2056,31210,25432,5778,прогноз
Калининградская область,Женщины,2057,31382,25487,5895,прогноз
Калининградская область,Женщины,2058,31614,25482,6132,прогноз
Калининградская область,Женщины,2059,31668,25654,6014,прогноз
Калининградская область,Женщины,2060,31664,25886,5778,прогноз
Калининградская область,Женщины,2061,31777,25999,5778,прогноз
Калининградская область,Женщины,2062,31890,26112,5778,прогноз
Калининградская область,Женщины,2063,32062,26167,5895,прогноз
Калининградская область,Женщины,2064,32294,26162,6132,прогноз
Калининградская область,Женщины,2065,32349,26334,6015,прогноз
Калининградская область,Женщины,2066,32344,26566,5778,прогноз
Калининградская область,Женщины,2067,32457,26679,5778,прогноз
Калининградская область,Женщины,2068,32571,26793,5778,прогноз
Калининградская область,Женщины,2069,32743,26847,5896,прогноз
Калининградская область,Женщины,2070,32974,26842,6132,прогноз
Калининградская область,Женщины,2071,33029,27015,6014,прогноз
Калининградская область,Женщины,2072,33024,27246,5778,прогноз
Калининградская область,Женщины,2073,33138,27360,5778,прогноз
Калининградская область,Женщины,2074,33251,27473,5778,прогноз
Калининградская область,Женщины,2075,33423,27528,5895,прогноз
Калининградская область,Женщины,2076,33655,27523,6132,прогноз
Калининградская область,Женщины,2077,33709,27695,6014,прогноз
Калининградская область,Женщины,2078,33705,27927,5778,прогноз
Калининградская область,Женщины,2079,33818,28040,5778,прогноз
Калининградская область,Женщины,2080,33931,28153,5778,прогноз
Калининградская область,Женщины,2081,34103,28208,5895,прогноз
Калининградская область,Женщины,2082,34335,28203,6132,прогноз
Калининградская область,Женщины,2083,34390,28375,6015,прогноз
Калининградская область,Женщины,2084,34385,28607,5778,прогноз
Калининградская область,Женщины,2085,34498,28720,5778,прогноз
Калининградская область,Женщины,2086,34612,28834,5778,прогноз
Калининградская область,Женщины,2087,34784,28888,5896,прогноз
Калининградская область,Женщины,2088,35015,28883,6132,прогноз
Калининградская область,Женщины,2089,35070,29056,6014,прогноз
Калининградская область,Женщины,2090,35065,29287,5778,прогноз
Калининградская область,Женщины,2091,35179,29401,5778,прогноз
Калининградская область,Женщины,2092,35292,29514,5778,прогноз
Калининградская область,Женщины,2093,35464,29569,5895,прогноз
Калининградская область,Женщины,2094,35696,29564,6132,прогноз
Калининградская область,Женщины,2095,35750,29736,6014,прогноз
Калининградская область,Женщины,2096,35746,29968,5778,прогноз
Калининградская область,Женщины,2097,35859,30081,5778,прогноз
Калининградская область,Женщины,2098,35972,30194,5778,прогноз
Калининградская область,Женщины,2099,36144,30249,5895,прогноз
Калининградская область,Женщины,2100,36376,30244,6132,прогноз
Калининградская область,Мужчины,2017,20997,16677,4320,наблюдение
Калининградская область,Мужчины,2018,22285,17863,4422,наблюдение
Калининградская область,Мужчины,2019,25516,19248,6268,наблюдение
Калининградская область,Мужчины,2020,22125,17430,4695,наблюдение
Калининградская область,Мужчины,2021,24401,16980,7421,наблюдение
Калининградская область,Мужчины,2022,21143,18889,2254,наблюдение
Калининградская область,Мужчины,2023,19073,16698,2375,наблюдение
Калининградская область,Мужчины,2024,20890,16956,3934,прогноз
Калининградская область,Мужчины,2025,22025,18373,3652,прогноз
Калининградская область,Мужчины,2026,22758,17840,4918,прогноз
Калининградская область,Мужчины,2027,23693,18391,5302,прогноз
Калининградская область,Мужчины,2028,24650,19717,4933,прогноз
Калининградская область,Мужчины,2029,24964,19603,5361,прогноз
Калининградская область,Мужчины,2030,24707,20059,4648,прогноз
Калининградская область,Мужчины,2031,24265,20701,3564,прогноз
Калининградская область,Мужчины,2032,24623,20542,4081,прогноз
Калининградская область,Мужчины,2033,24785,20580,4205,прогноз
Калининградская область,Мужчины,2034,24891,20673,4218,прогноз
Калининградская область,Мужчины,2035,25606,20158,5448,прогноз
Калининградская область,Мужчины,2036,25724,20239,5485,прогноз
Калининградская область,Мужчины,2037,25412,20751,4661,прогноз
Калининградская область,Мужчины,2038,25578,20784,4794,прогноз
Калининградская область,Мужчины,2039,25340,21222,4118,прогноз
Калининградская область,Мужчины,2040,25071,21690,3381,прогноз
Калининградская область,Мужчины,2041,25656,21305,4351,прогноз
Калининградская область,Мужчины,2042,25966,21194,4772,прогноз
Калининградская область,Мужчины,2043,26054,21306,4748,прогноз
Калининградская область,Мужчины,2044,26595,20964,5631,прогноз
Калининградская область,Мужчины,2045,26487,21272,5215,прогноз
Калининградская область,Мужчины,2046,26027,21932,4095,прогноз
Калининградская область,Мужчины,2047,26211,21947,4264,прогноз
Калининградская область,Мужчины,2048,26146,22212,3934,прогноз
Калининградская область,Мужчины,2049,26104,22453,3651,прогноз
Калининградская область,Мужчины,2050,26837,21919,4918,прогноз
Калининградская область,Мужчины,2051,27129,21827,5302,прогноз
Калининградская область,Мужчины,2052,27044,22112,4932,прогноз
Калининградская область,Мужчины,2053,27358,21997,5361,прогноз
Калининградская область,Мужчины,2054,27101,22453,4648,прогноз
Калининградская область,Мужчины,2055,26659,23095,3564,прогноз
Калининградская область,Мужчины,2056,27017,22937,4080,прогноз
Калининградская область,Мужчины,2057,27179,22974,4205,прогноз
Калининградская область,Мужчины,2058,27285,23067,4218,прогноз
Калининградская область,Мужчины,2059,28000,22552,5448,прогноз
Калининградская область,Мужчины,2060,28119,22633,5486,прогноз
Калининградская область,Мужчины,2061,27806,23145,4661,прогноз
Калининградская область,Мужчины,2062,27972,23178,4794,прогноз
Калининградская область,Мужчины,2063,27734,23616,4118,прогноз
Калининградская область,Мужчины,2064,27465,24084,3381,прогноз
Калининградская область,Мужчины,2065,28050,23699,4351,прогноз
Калининградская область,Мужчины,2066,28360,23589,4771,прогноз
Калининградская область,Мужчины,2067,28449,23700,4749,прогноз
Калининградская область,Мужчины,2068,28990,23358,5632,прогноз
Калининградская область,Мужчины,2069,28881,23666,5215,прогноз
Калининградская область,Мужчины,2070,28421,24326,4095,прогноз
Калининградская область,Мужчины,2071,28605,24341,4264,прогноз
Калининградская область,Мужчины,2072,28540,24606,3934,прогноз
Калининградская область,Мужчины,2073,28499,24847,3652,прогноз
Калининградская область,Мужчины,2074,29231,24314,4917,прогноз
Калининградская область,Мужчины,2075,29523,24221,5302,прогноз
Калининградская область,Мужчины,2076,29438,24506,4932,прогноз
Калининградская область,Мужчины,2077,29752,24391,5361,прогноз
Калининградская область,Мужчины,2078,29495,24847,4648,прогноз
Калининградская область,Мужчины,2079,29054,25489,3565,прогноз
Калининградская область,Мужчины,2080,29411,25331,4080,прогноз
Калининградская область,Мужчины,2081,29573,25368,4205,прогноз
Калининградская область,Мужчины,2082,29680,25461,4219,прогноз
Калининградская область,Мужчины,2083,30394,24946,5448,прогноз
Калининградская область,Мужчины,2084,30513,25027,5486,прогноз
Калининградская область,Мужчины,2085,30201,25539,4662,прогноз
Калининградская область,Мужчины,2086,30367,25572,4795,прогноз
Калининградская область,Мужчины,2087,30128,26011,4117,прогноз
Калининградская область,Мужчины,2088,29860,26479,3381,прогноз
Калининградская область,Мужчины,2089,30444,26093,4351,прогноз
Калининградская область,Мужчины,2090,30754,25983,4771,прогноз
Калининградская область,Мужчины,2091,30843,26094,4749,прогноз
Калининградская область,Мужчины,2092,31384,25752,5632,прогноз
Калининградская область,Мужчины,2093,31275,26061,5214,прогноз
Калининградская область,Мужчины,2094,30815,26720,4095,прогноз
Калининградская область,Мужчины,2095,30999,26735,4264,прогноз
Калининградская область,Мужчины,2096,30934,27000,3934,прогноз
Калининградская область,Мужчины,2097,30893,27241,3652,прогноз
Калининградская область,Мужчины,2098,31625,26708,4917,прогноз
Калининградская область,Мужчины,2099,31917,26616,5301,прогноз
Калининградская область,Мужчины,2100,31832,26900,4932,прогноз
Калужская область,Всего,2017,44186,42555,1631,наблюдение
Калужская область,Всего,2018,44927,42991,1936,наблюдение
Калужская область,Всего,2019,35934,37007,-1073,наблюдение
Калужская область,Всего,2020,39593,32732,6861,наблюдение
Калужская область,Всего,2021,58255,35603,22652,наблюдение
Калужская область,Всего,2022,55782,51354,4428,наблюдение
Калужская область,Всего,2023,47660,44212,3448,наблюдение
Калужская область,Всего,2024,50235,43319,6916,прогноз
Калужская область,Всего,2025,57174,47208,9966,прогноз
Калужская область,Всего,2026,60051,51081,8970,прогноз
Калужская область,Всего,2027,58818,52752,6066,прогноз
Калужская область,Всего,2028,61331,54351,6980,прогноз
Калужская область,Всего,2029,67257,56606,10651,прогноз
Калужская область,Всего,2030,67774,56527,11247,прогноз
Калужская область,Всего,2031,66721,58017,8704,прогноз
Калужская область,Всего,2032,69877,61624,8253,прогноз
Калужская область,Всего,2033,79024,68308,10716,прогноз
Калужская область,Всего,2034,79850,67919,11931,прогноз
Калужская область,Всего,2035,79594,68613,10981,прогноз
Калужская область,Всего,2036,79768,68876,10892,прогноз
Калужская область,Всего,2037,87568,75581,11987,прогноз
Калужская область,Всего,2038,87858,75861,11997,прогноз
Калужская область,Всего,2039,87911,76245,11666,прогноз
Калужская область,Всего,2040,88881,75713,13168,прогноз
Калужская область,Всего,2041,92439,77813,14626,прогноз
Калужская область,Всего,2042,96267,82999,13268,прогноз
Калужская область,Всего,2043,95717,83987,11730,прогноз
Калужская область,Всего,2044,96998,83145,13853,прогноз
Калужская область,Всего,2045,98747,81845,16902,прогноз
Калужская область,Всего,2046,101138,85231,15907,прогноз
Калужская область,Всего,2047,99905,86903,13002,прогноз
Калужская область,Всего,2048,102419,88502,13917,прогноз
Калужская область,Всего,2049,108344,90757,17587,прогноз
Калужская область,Всего,2050,108861,90678,18183,прогноз
Калужская область,Всего,2051,107808,92168,15640,прогноз
Калужская область,Всего,2052,110964,95774,15190,прогноз
Калужская область,Всего,2053,120111,102459,17652,прогноз
Калужская область,Всего,2054,120937,102070,18867,прогноз
Калужская область,Всего,2055,120681,102764,17917,прогноз
Калужская область,Всего,2056,120855,103027,17828,прогноз
Калужская область,Всего,2057,128656,109732,18924,прогноз
Калужская область,Всего,2058,128945,110012,18933,прогноз
Калужская область,Всего,2059,128999,110396,18603,прогноз
Калужская область,Всего,2060,129968,109864,20104,прогноз
Калужская область,Всего,2061,133526,111964,21562,прогноз
Калужская область,Всего,2062,137355,117151,20204,прогноз
Калужская область,Всего,2063,136805,118138,18667,прогноз
Калужская область,Всего,2064,138085,117295,20790,прогноз
Калужская область,Всего,2065,139834,115996,23838,прогноз
Калужская область,Всего,2066,142226,119383,22843,прогноз
Калужская область,Всего,2067,140992,121054,19938,прогноз
Калужская область,Всего,2068,143507,122652,20855,прогноз
Калужская область,Всего,2069,149431,124907,24524,прогноз
Калужская область,Всего,2070,149948,124829,25119,прогноз
Калужская область,Всего,2071,148896,126319,22577,прогноз
Калужская область,Всего,2072,152051,129925,22126,прогноз
Калужская область,Всего,2073,161198,136609,24589,прогноз
Калужская область,Всего,2074,162025,136220,25805,прогноз
Калужская область,Всего,2075,161768,136914,24854,прогноз
Калужская область,Всего,2076,161942,137177,24765,прогноз
Калужская область,Всего,2077,169743,143882,25861,прогноз
Калужская область,Всего,2078,170032,144162,25870,прогноз
Калужская область,Всего,2079,170086,144547,25539,прогноз
Калужская область,Всего,2080,171056,144014,27042,прогноз
Калужская область,Всего,2081,174614,146114,28500,прогноз
Калужская область,Всего,2082,178443,151301,27142,прогноз
Калужская область,Всего,2083,177893,152289,25604,прогноз
Калужская область,Всего,2084,179172,151446,27726,прогноз
Калужская область,Всего,2085,180922,150147,30775,прогноз
Калужская область,Всего,2086,183314,153533,29781,прогноз
Калужская область,Всего,2087,182080,155204,26876,прогноз
Калужская область,Всего,2088,184594,156803,27791,прогноз
Калужская область,Всего,2089,190519,159058,31461,прогноз
Калужская область,Всего,2090,191036,158979,32057,прогноз
Калужская область,Всего,2091,189984,160469,29515,прогноз
Калужская область,Всего,2092,193138,164075,29063,прогноз
Калужская область,Всего,2093,202285,170760,31525,прогноз
Калужская область,Всего,2094,203113,170371,32742,прогноз
Калужская область,Всего,2095,202856,171065,31791,прогноз
Калужская область,Всего,2096,203031,171328,31703,прогноз
Калужская область,Всего,2097,210831,178034,32797,прогноз
Калужская область,Всего,2098,211119,178313,32806,прогноз
Калужская область,Всего,2099,211173,178698,32475,прогноз
Калужская область,Всего,2100,212143,178165,33978,прогноз
Калужская область,Женщины,2017,21524,21163,361,наблюдение
Калужская область,Женщины,2018,21983,21362,621,наблюдение
Калужская область,Женщины,2019,16346,18132,-1786,наблюдение
Калужская область,Женщины,2020,18755,15385,3370,наблюдение
Калужская область,Женщины,2021,27888,17755,10133,наблюдение
Калужская область,Женщины,2022,27394,24456,2938,наблюдение
Калужская область,Женщины,2023,24117,21308,2809,наблюдение
Калужская область,Женщины,2024,24400,21238,3162,прогноз
Калужская область,Женщины,2025,27462,23172,4290,прогноз
Калужская область,Женщины,2026,29177,25167,4010,прогноз
Калужская область,Женщины,2027,28776,25781,2995,прогноз
Калужская область,Женщины,2028,29625,26311,3314,прогноз
Калужская область,Женщины,2029,32431,27760,4671,прогноз
Калужская область,Женщины,2030,32678,27726,4952,прогноз
Калужская область,Женщины,2031,32335,28281,4054,прогноз
Калужская область,Женщины,2032,33820,29934,3886,прогноз
Калужская область,Женщины,2033,38327,33503,4824,прогноз
Калужская область,Женщины,2034,38687,33355,5332,прогноз
Калужская область,Женщины,2035,38625,33630,4995,прогноз
Калужская область,Женщины,2036,38706,33761,4945,прогноз
Калужская область,Женщины,2037,42521,37126,5395,прогноз
Калужская область,Женщины,2038,42738,37253,5485,прогноз
Калужская область,Женщины,2039,42789,37414,5375,прогноз
Калужская область,Женщины,2040,43151,37265,5886,прогноз
Калужская область,Женщины,2041,44738,38284,6454,прогноз
Калужская область,Женщины,2042,46932,40876,6056,прогноз
Калужская область,Женщины,2043,46774,41246,5528,прогноз
Калужская область,Женщины,2044,47250,40984,6266,прогноз
Калужская область,Женщины,2045,47920,40526,7394,прогноз
Калужская область,Женщины,2046,49149,42034,7115,прогноз
Калужская область,Женщины,2047,48748,42648,6100,прогноз
Калужская область,Женщины,2048,49598,43179,6419,прогноз
Калужская область,Женщины,2049,52403,44628,7775,прогноз
Калужская область,Женщины,2050,52650,44594,8056,прогноз
Калужская область,Женщины,2051,52307,45149,7158,прогноз
Калужская область,Женщины,2052,53792,46801,6991,прогноз
Калужская область,Женщины,2053,58299,50371,7928,прогноз
Калужская область,Женщины,2054,58659,50223,8436,прогноз
Калужская область,Женщины,2055,58597,50498,8099,прогноз
Калужская область,Женщины,2056,58678,50629,8049,прогноз
Калужская область,Женщины,2057,62493,53994,8499,прогноз
Калужская область,Женщины,2058,62710,54121,8589,прогноз
Калужская область,Женщины,2059,62762,54282,8480,прогноз
Калужская область,Женщины,2060,63123,54133,8990,прогноз
Калужская область,Женщины,2061,64710,55152,9558,прогноз
Калужская область,Женщины,2062,66904,57744,9160,прогноз
Калужская область,Женщины,2063,66747,58114,8633,прогноз
Калужская область,Женщины,2064,67222,57851,9371,прогноз
Калужская область,Женщины,2065,67892,57393,10499,прогноз
Калужская область,Женщины,2066,69122,58902,10220,прогноз
Калужская область,Женщины,2067,68720,59516,9204,прогноз
Калужская область,Женщины,2068,69570,60046,9524,прогноз
Калужская область,Женщины,2069,72375,61495,10880,прогноз
Калужская область,Женщины,2070,72622,61462,11160,прогноз
Калужская область,Женщины,2071,72279,62017,10262,прогноз
Калужская область,Женщины,2072,73764,63669,10095,прогноз
Калужская область,Женщины,2073,78271,67238,11033,прогноз
Калужская область,Женщины,2074,78631,67090,11541,прогноз
Калужская область,Женщины,2075,78569,67365,11204,прогноз
Калужская область,Женщины,2076,78650,67496,11154,прогноз
Калужская область,Женщины,2077,82465,70861,11604,прогноз
Калужская область,Женщины,2078,82682,70988,11694,прогноз
Калужская область,Женщины,2079,82734,71149,11585,прогноз
Калужская область,Женщины,2080,83095,71000,12095,прогноз
Калужская область,Женщины,2081,84682,72019,12663,прогноз
Калужская область,Женщины,2082,86877,74611,12266,прогноз
Калужская область,Женщины,2083,86719,74982,11737,прогноз
Калужская область,Женщины,2084,87194,74719,12475,прогноз
Калужская область,Женщины,2085,87865,74261,13604,прогноз
Калужская область,Женщины,2086,89094,75769,13325,прогноз
Калужская область,Женщины,2087,88692,76383,12309,прогноз
Калужская область,Женщины,2088,89542,76914,12628,прогноз
Калужская область,Женщины,2089,92348,78363,13985,прогноз
Калужская область,Женщины,2090,92594,78329,14265,прогноз
Калужская область,Женщины,2091,92252,78884,13368,прогноз
Калужская область,Женщины,2092,93736,80536,13200,прогноз
Калужская область,Женщины,2093,98243,84106,14137,прогноз
Калужская область,Женщины,2094,98604,83958,14646,прогноз
Калужская область,Женщины,2095,98541,84233,14308,прогноз
Калужская область,Женщины,2096,98623,84364,14259,прогноз
Калужская область,Женщины,2097,102438,87729,14709,прогноз
Калужская область,Женщины,2098,102654,87856,14798,прогноз
Калужская область,Женщины,2099,102706,88017,14689,прогноз
Калужская область,Женщины,2100,103067,87868,15199,прогноз
Калужская область,Мужчины,2017,22662,21392,1270,наблюдение
Калужская область,Мужчины,2018,22944,21629,1315,наблюдение
Калужская область,Мужчины,2019,19588,18875,713,наблюдение
Калужская область,Мужчины,2020,20838,17347,3491,наблюдение
Калужская область,Мужчины,2021,30367,17848,12519,наблюдение
Калужская область,Мужчины,2022,28388,26898,1490,наблюдение
Калужская область,Мужчины,2023,23543,22904,639,наблюдение
Калужская область,Мужчины,2024,25835,22081,3754,прогноз
Калужская область,Мужчины,2025,29712,24036,5676,прогноз
Калужская область,Мужчины,2026,30874,25914,4960,прогноз
Калужская область,Мужчины,2027,30042,26971,3071,прогноз
Калужская область,Мужчины,2028,31706,28040,3666,прогноз
Калужская область,Мужчины,2029,34826,28846,5980,прогноз
Калужская область,Мужчины,2030,35096,28801,6295,прогноз
Калужская область,Мужчины,2031,34386,29736,4650,прогноз
Калужская область,Мужчины,2032,36057,31690,4367,прогноз
Калужская область,Мужчины,2033,40697,34805,5892,прогноз
Калужская область,Мужчины,2034,41163,34564,6599,прогноз
Калужская область,Мужчины,2035,40969,34983,5986,прогноз
Калужская область,Мужчины,2036,41062,35115,5947,прогноз
Калужская область,Мужчины,2037,45047,38455,6592,прогноз
Калужская область,Мужчины,2038,45120,38608,6512,прогноз
Калужская область,Мужчины,2039,45122,38831,6291,прогноз
Калужская область,Мужчины,2040,45730,38448,7282,прогноз
Калужская область,Мужчины,2041,47701,39529,8172,прогноз
Калужская область,Мужчины,2042,49335,42123,7212,прогноз
Калужская область,Мужчины,2043,48943,42741,6202,прогноз
Калужская область,Мужчины,2044,49748,42161,7587,прогноз
Калужская область,Мужчины,2045,50827,41319,9508,прогноз
Калужская область,Мужчины,2046,51989,43197,8792,прогноз
Калужская область,Мужчины,2047,51157,44255,6902,прогноз
Калужская область,Мужчины,2048,52821,45323,7498,прогноз
Калужская область,Мужчины,2049,55941,46129,9812,прогноз
Калужская область,Мужчины,2050,56211,46084,10127,прогноз
Калужская область,Мужчины,2051,55501,47019,8482,прогноз
Калужская область,Мужчины,2052,57172,48973,8199,прогноз
Калужская область,Мужчины,2053,61812,52088,9724,прогноз
Калужская область,Мужчины,2054,62278,51847,10431,прогноз
Калужская область,Мужчины,2055,62084,52266,9818,прогноз
Калужская область,Мужчины,2056,62177,52398,9779,прогноз
Калужская область,Мужчины,2057,66163,55738,10425,прогноз
Калужская область,Мужчины,2058,66235,55891,10344,прогноз
Калужская область,Мужчины,2059,66237,56114,10123,прогноз
Калужская область,Мужчины,2060,66845,55731,11114,прогноз
Калужская область,Мужчины,2061,68816,56812,12004,прогноз
Калужская область,Мужчины,2062,70451,59407,11044,прогноз
Калужская область,Мужчины,2063,70058,60024,10034,прогноз
Калужская область,Мужчины,2064,70863,59444,11419,прогноз
Калужская область,Мужчины,2065,71942,58603,13339,прогноз
Калужская область,Мужчины,2066,73104,60481,12623,прогноз
Калужская область,Мужчины,2067,72272,61538,10734,прогноз
Калужская область,Мужчины,2068,73937,62606,11331,прогноз
Калужская область,Мужчины,2069,77056,63412,13644,прогноз
Калужская область,Мужчины,2070,77326,63367,13959,прогноз
Калужская область,Мужчины,2071,76617,64302,12315,прогноз
Калужская область,Мужчины,2072,78287,66256,12031,прогноз
Калужская область,Мужчины,2073,82927,69371,13556,прогноз
Калужская область,Мужчины,2074,83394,69130,14264,прогноз
Калужская область,Мужчины,2075,83199,69549,13650,прогноз
Калужская область,Мужчины,2076,83292,69681,13611,прогноз
Калужская область,Мужчины,2077,87278,73021,14257,прогноз
Калужская область,Мужчины,2078,87350,73174,14176,прогноз
Калужская область,Мужчины,2079,87352,73398,13954,прогноз
Калужская область,Мужчины,2080,87961,73014,14947,прогноз
Калужская область,Мужчины,2081,89932,74095,15837,прогноз
Калужская область,Мужчины,2082,91566,76690,14876,прогноз
Калужская область,Мужчины,2083,91174,77307,13867,прогноз
Калужская область,Мужчины,2084,91978,76727,15251,прогноз
Калужская область,Мужчины,2085,93057,75886,17171,прогноз
Калужская область,Мужчины,2086,94220,77764,16456,прогноз
Калужская область,Мужчины,2087,93388,78821,14567,прогноз
Калужская область,Мужчины,2088,95052,79889,15163,прогноз
Калужская область,Мужчины,2089,98171,80695,17476,прогноз
Калужская область,Мужчины,2090,98442,80650,17792,прогноз
Калужская область,Мужчины,2091,97732,81585,16147,прогноз
Калужская область,Мужчины,2092,99402,83539,15863,прогноз
Калужская область,Мужчины,2093,104042,86654,17388,прогноз
Калужская область,Мужчины,2094,104509,86413,18096,прогноз
Калужская область,Мужчины,2095,104315,86832,17483,прогноз
Калужская область,Мужчины,2096,104408,86964,17444,прогноз
Калужская область,Мужчины,2097,108393,90305,18088,прогноз
Калужская область,Мужчины,2098,108465,90457,18008,прогноз
Калужская область,Мужчины,2099,108467,90681,17786,прогноз
Калужская область,Мужчины,2100,109076,90297,18779,прогноз
Камчатский край,Всего,2017,13645,13101,544,наблюдение
Камчатский край,Всего,2018,14837,15539,-702,наблюдение
Камчатский край,Всего,2019,14192,15760,-1568,наблюдение
Камчатский край,Всего,2020,13430,13547,-117,наблюдение
Камчатский край,Всего,2021,14410,11981,2429,наблюдение
Камчатский край,Всего,2022,12950,15913,-2963,наблюдение
Камчатский край,Всего,2023,13245,12558,687,наблюдение
Камчатский край,Всего,2024,15027,14132,895,прогноз
Камчатский край,Всего,2025,14453,16161,-1708,прогноз
Камчатский край,Всего,2026,16003,15822,181,прогноз
Камчатский край,Всего,2027,16423,15542,881,прогноз
Камчатский край,Всего,2028,15214,16890,-1676,прогноз
Камчатский край,Всего,2029,16245,15999,246,прогноз
Камчатский край,Всего,2030,16615,15769,846,прогноз
Камчатский край,Всего,2031,15383,17140,-1757,прогноз
Камчатский край,Всего,2032,16481,16180,301,прогноз
Камчатский край,Всего,2033,16905,15896,1009,прогноз
Камчатский край,Всего,2034,15849,17525,-1676,прогноз
Камчатский край,Всего,2035,16900,16614,286,прогноз
Камчатский край,Всего,2036,17347,16306,1041,прогноз
Камчатский край,Всего,2037,16091,17702,-1611,прогноз
Камчатский край,Всего,2038,17091,16840,251,прогноз
Камчатский край,Всего,2039,17515,16555,960,прогноз
Камчатский край,Всего,2040,16327,17883,-1556,прогноз
Камчатский край,Всего,2041,17383,16968,415,прогноз
Камчатский край,Всего,2042,17983,16941,1042,прогноз
Камчатский край,Всего,2043,16746,18318,-1572,прогноз
Камчатский край,Всего,2044,17824,17378,446,прогноз
